level_0,index,SITE_ID,2015_DATA_START,2015_DATA_END,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAP_tower,MAT_tower,MET,PET_PM,PET_PT,MAP_badm,MAT_badm,GSfit_R2,CanopyHeight,MLAI,Nsample,GSfit_R2_nosm,g0,g1,m,GSmax0,GSmax1,GSmax2,g00,g01,g02,g03,GSREF
32,35,CA-NS6,2001,2005,55.9167,-98.9644,244,SHB,258.0467378,-0.841759886,233.2855891,489.3344726,626.5375034,495.37,-3.08,0.559944765,2,1.801215252,2239,0.253120284,0.068937111,0.005911612,1.026645444,0.049196398,0.05718169,0.068092109,0.018033845,0.034426194,0.042939825,0.045330881,0.075737939
33,36,CA-NS7,2002,2005,56.6358,-99.9483,297,SHB,316.8210664,-0.725998112,281.0979234,686.6452114,629.8283236,483.27,-3.52,0.417049904,1,0.591041836,2221,0.382872297,0.07547879,0.010356018,1.046353028,0.174374441,0.201965589,0.241471753,0.070212325,0.066109224,0.064222486,0.07733492,0.260079009
34,37,CA-Qfo,2003,2010,49.6925,-74.3421,382,ENF,978.9902183,1.392694785,312.9047034,549.9043994,703.6088983,962.32,-0.36,0.365467317,13.8,1.48988642,4534,0.337518492,0.052898719,0.0103003,0.481835988,0.093698109,0.104325572,0.120208051,0.028315528,0.04308725,0.063820093,0.044901019,0.109441186
35,38,CA-SF1,2003,2006,54.485,-105.8176,536,ENF,475.2817973,0.838076624,509.8582483,582.3524407,717.0390553,470,0.4,0.410543148,6,1.933218468,2605,0.32255627,0.087849224,0.011535473,0.629169645,0.111865363,0.122433972,0.139399112,0.051816671,0.060741558,0.129308282,0.155346742,0.153298091
36,39,CA-SF2,2001,2005,54.2539,-105.8775,520,ENF,340.1287344,-0.013277593,437.804864,647.8413324,680.4697115,470,0.4,0.367410526,4,2.061273428,1106,0.346958507,0.063757462,0.008598811,0.561869497,0.100606673,0.10826837,0.117751917,0.032651451,0.077458053,0.057096341,0.075255519,0.131914743
37,40,CA-SF3,2001,2006,54.0916,-106.0053,540,SHB,394.6112745,2.938202964,429.7068046,580.4563869,718.0561591,470,0.4,0.185861526,18,1.146577425,1847,0.166928482,0.107351645,0.010285482,0.680776789,0.117756555,0.134083175,0.15090984,0.063985283,0.099058636,0.099470669,0.127712371,0.157377311
38,41,CH-Cha,2005,2014,47.2102,8.4104,393,GRA,1142.52717,9.552810431,781.0603076,1319.908567,752.8532484,1136,9.5,0.259140641,0.5,5.800022214,1205,0.226736522,0.149874317,0.008356147,0.558478084,0.058056565,0.068497621,0.091718459,0.032800699,0.158506149,0.19347761,0.168046464,0.111407707
39,42,CH-Dav,1997,2014,46.8153,9.8559,1639,ENF,976.9234278,3.632009616,503.1062754,699.1422102,917.6384715,1062,2.8,0.197926087,25,1.730823383,1448,0.181807885,0.012595696,0.012181147,0.185975989,0.140353997,0.16029085,0.188269051,0.026827186,2.24E-20,0.031790941,0.009281173,0.206271345
40,43,CH-Fru,2005,2014,47.1158,8.5378,982,GRA,1291.822854,7.715523247,711.0045668,934.3858359,640.4218997,1651,7.2,0.264869606,0.4,2.993284487,1877,0.256466974,0.133071229,0.01046136,0.472196125,0.15738353,0.1831108,0.215850397,0.090931884,0.127145381,0.159443324,0.120322637,0.247050995
41,44,CH-Oe1,2002,2008,47.2858,7.7319,450,GRA,1192.260284,9.836268747,685.3589557,1284.408648,691.6397384,1100,9,0.412351683,0.17625,1.651350153,3539,0.386769329,0.086845877,0.008435999,0.658346003,0.164942723,0.196068447,0.24341312,0.050675269,0.16423913,0.078072852,0.076899317,0.270933468
43,46,CN-Cng,2007,2010,44.5934,123.5092,,GRA,339.4238344,7.749967897,505.6074664,1313.969033,811.4366069,,,0.323284895,0.595,0.633684562,3987,0.301721883,0.042330476,0.009613657,0.553461512,0.116895155,0.144504764,0.189545555,0.03016547,0.040515733,0.046098716,0.052223585,0.270134861
44,47,CN-Dan,2004,2005,30.4978,91.0664,,GRA,626.4395764,3.039088212,760.8821394,1276.108347,915.9610937,,,0.402866562,0.1,0.448540418,974,0.286842309,0.025305025,0.025044738,0.190263836,0.209580583,0.256231753,0.32098257,0.036479209,0.027464005,0.04252717,0.059063564,0.365689866
45,48,CN-Din,2003,2005,23.1733,112.5361,,EBF,1417.15281,20.63162145,697.9910707,1025.838303,1083.915337,,,0.078493003,16.86666667,3.601423025,1743,0.053769203,0.052538984,0.006280452,0.051902062,0.050551147,0.057601576,0.06868128,0.077524284,0.0733907,0.006622847,0.065208969,0.073856553
47,52,CN-Qia,2003,2005,26.7414,115.0581,,ENF,1185.368351,18.32940443,689.9706607,1179.57835,1088.521343,,,0.16426003,11,2.27267186,2442,0.144192018,0.032239135,0.006028329,1.73E-18,0.078361123,0.091946023,0.111281744,0.040678912,0.054932955,0.035756269,0.038296897,0.12470082
48,53,CN-Sw2,2010,2012,41.7902,111.8971,,GRA,145.8232888,0.784267373,264.8603729,1314.605188,670.0019148,,,0.474649999,0.2,0.296170878,313,0.292540814,0.028462402,0.004886103,3.90E-16,0.112035441,0.124612998,0.141994168,0.019835853,0.027121892,0.036485002,0.036622902,0.185541164
49,54,CZ-BK1,2004,2008,49.5021,18.5369,875,ENF,1420.561953,12.458307,388.9660797,744.0442449,1020.903318,1316,6.7,0.412884919,11.35882353,2.764178514,1371,0.412884919,0.038461785,0.006124563,0.630109002,0.075565487,0.083762855,0.098850751,0.038461785,0.038461785,0.038461785,0.038461785,0.105016353
51,59,DE-Gri,2004,2014,50.9495,13.5125,385,GRA,944.9076236,8.564352387,398.0271729,1045.872765,645.8579284,901,7.8,0.271114785,0.213604938,3.509836741,5110,0.262800797,0.06968004,0.00477276,0.393901231,0.042133065,0.046756917,0.053325764,0.04977398,0.083245459,0.067721261,0.084947985,0.050349653
52,61,DE-Kli,2004,2014,50.8929,13.5225,478,CRO,852.8178336,8.205639592,377.877319,828.6092832,600.4081133,842,7.6,0.510534838,0.461237374,1.635403496,4168,0.439280035,0.065412404,0.007203958,0.572303506,0.113754671,0.136567227,0.164624676,0.014623719,0.040240891,0.082002446,0.084460505,0.196155485
53,62,DE-Lkb,2009,2013,49.0996,13.3047,1308,ENF,1092.888358,4.58290634,484.6327362,942.9237472,516.1995525,1599,4,0.456173851,2,1.527200602,612,0.346664888,0.151668303,0.012580908,1.118017815,0.110236386,0.121453103,0.142614128,0.124068525,0.137647486,0.157494735,0.151540862,0.128717787
