level_0,index,SITE_ID,2015_DATA_START,2015_DATA_END,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAP_tower,MAT_tower,MET,PET_PM,PET_PT,MAP_badm,MAT_badm,GSfit_R2,CanopyHeight,MLAI,Nsample,GSfit_R2_nosm,g0,g1,m,GSmax0,GSmax1,GSmax2,g00,g01,g02,g03,GSREF
97,122,US-GLE,2004,2014,41.3665,-106.2399,3197,ENF,1770.796898,-0.055224063,748.5896796,729.69073,1166.901432,1200,0.8,0.345594227,9.725,0.715865547,7953,0.323333777,0.07783522,0.009484157,0.312761629,0.206030826,0.230630956,0.266597981,0.08017619,0.064214235,0.098542988,0.084436955,0.254991282
98,124,US-KS2,2003,2006,28.6086,-80.6715,3,SHB,1070.258884,21.63792125,973.0244018,853.5092447,1564.850874,1294,21.66,0.413598858,1.5,5.38106464,2457,0.347895719,0.0396301,0.012893184,0.158683939,0.040559123,0.044236123,0.049751488,0.020030273,0.046671963,0.048934926,0.113507171,0.048626646
99,126,US-Me1,2004,2005,44.5794,-121.5,896,ENF,132.8360383,9.168831063,284.2888899,1314.314544,755.1467111,704.61,7.88,0.738306622,7.2,0.768319143,556,0.575625922,0.010227996,0.024932031,1.16176523,0.054722059,0.080785051,0.122692352,0.010616706,0.013437336,0.048465176,0.078278914,0.190235073
100,127,US-Me2,2002,2014,44.4523,-121.5574,1253,ENF,495.1994782,7.569938369,613.7289658,887.6238277,1017.822806,523,6.28,0.412520846,15.66333333,2.389322797,6053,0.343898122,2.36E-20,0.009751502,0.334779863,0.077921163,0.088936313,0.10318987,1.47E-23,1.65E-22,0.001845967,0.06746181,0.104639737
101,128,US-Me6,2010,2014,44.3233,-121.6078,998,ENF,381.088433,8.357212769,438.2654,1099.356196,1088.176401,494.3406897,7.594913793,0.40398732,5.855,0.96092717,419,0.300087733,0.004856468,0.005269531,0.64112187,0.016714438,0.021610884,0.027905364,0.007527901,0.010418676,0.012828983,0.011702259,0.035614241
102,129,US-MMS,1999,2014,39.3232,-86.4131,275,DBF,1089.68941,12.23901202,523.1194611,932.0117567,983.9589633,1032,10.85,0.366481162,26,4.307271739,4472,0.354908309,0.057093972,0.008487531,0.084627997,0.070134666,0.078082164,0.087044918,0.05998042,0.084288572,0.09875086,0.048595939,0.098433183
104,131,US-Ne1,2001,2013,41.1651,-96.4766,361,CRO,841.0217261,10.56397355,735.6553652,1374.590126,1037.074837,790.37,10.07,0.746827108,1.568529412,1.404981612,3290,0.739613198,0.056921016,0.009525615,0.347522794,0.167705189,0.190280928,0.21534676,0.044040827,0.069684388,0.055923069,0.059063046,0.208971345
105,132,US-Ne2,2001,2013,41.1649,-96.4701,362,CRO,848.2585357,10.34977286,712.4431978,1379.213816,1018.034209,788.89,10.08,0.72781488,1.127826531,1.231298194,3465,0.721102417,0.052388879,0.010670126,0.442749931,0.16769506,0.194903686,0.236827998,0.050772063,0.049992016,0.060167613,0.047106911,0.263461488
106,133,US-Ne3,2001,2013,41.1797,-96.4397,363,CRO,685.6555379,10.4272902,642.5582874,1410.897436,960.2738387,783.68,10.11,0.693898502,0.965304688,1.156445582,4067,0.686129031,0.054280245,0.00892658,0.33003053,0.144958938,0.172085217,0.200848006,0.080148416,0.045560936,0.054121206,0.051848857,0.174851399
107,134,US-NR1,1998,2014,40.0329,-105.5464,3050,ENF,748.1340394,2.11871362,685.2493933,744.3896799,918.2627475,800,1.5,0.31947711,13.43333333,1.832124499,7320,0.265930187,0.068045146,0.010878825,0.190662217,0.095143885,0.104547672,0.11633435,0.037110402,0.061020156,0.078834671,0.116652509,0.116999207
108,136,US-Prr,2010,2013,65.1237,-147.4876,210,ENF,255.7857085,-5.364215792,212.9491826,930.8619792,479.8388605,275,-2,0.233500958,2.53,1.205633482,927,0.233500958,0.060840067,0.011604739,0.332291378,0.091401254,0.104692545,0.122534653,0.060840067,0.060840067,0.060840067,0.060840067,0.13039569
109,137,US-SRG,2008,2014,31.7894,-110.8277,1291,GRA,419.6891438,19.19949152,459.0706629,2883.71694,1271.432655,420,17,0.653003967,0.5,0.495729311,7005,0.622604282,0.007576099,0.012138082,0.477969209,0.054101312,0.064636715,0.079777897,0.007646256,0.007235747,0.008929767,0.014345081,0.102534649
110,138,US-SRM,2004,2014,31.8214,-110.8661,1120,SAV,364.5021817,18.94629972,373.9666698,1215.15832,1454.634909,380,17.92,0.537273675,2.5,0.432393747,10108,0.464775608,0.010594789,0.011601843,0.49564888,0.0521194,0.061026676,0.073681194,0.005705099,0.010782447,0.013901057,0.021902405,0.110240656
111,140,US-Ton,2001,2014,38.4316,-120.966,177,SAV,499.5404585,16.73989409,395.8120003,819.7857357,1254.601779,559,15.8,0.644106467,9.9,1.145624774,13854,0.473479936,0.014653119,0.010387915,0.565940929,0.04616936,0.053917447,0.06457634,0.015767186,0.017911681,0.018524427,0.071647597,0.065094973
113,142,US-Tw2,2012,2013,38.1047,-121.6433,-5,CRO,404.3650765,15.35992628,792.9904698,2316.799697,1498.560966,421,15.5,0.716297329,1.805833333,0.914508182,1558,0.464461124,0.063369347,0.007596752,0.776653359,0.126599897,0.148555118,0.177514106,0.034409355,0.04885744,0.025294534,0.0920123,0.256729318
114,143,US-Tw3,2013,2014,38.1159,-121.6467,-9,CRO,286.1119532,16.98825184,1063.817425,2000.714779,1264.873792,421,15.6,0.65135428,0.276261905,1.398705793,2341,0.638986827,0.049755335,0.011606136,0.453627371,0.23678694,0.262534382,0.293061607,0.017507145,0.04498416,0.089016957,0.045400853,0.329703841
116,145,US-Twt,2009,2014,38.1087,-121.653,,CRO,293.2377772,15.03410761,1270.828609,1836.45877,1206.759505,421,15.6,0.440187551,0.582227273,1.263178977,4474,0.440187551,0.121760747,0.013384754,0.695117462,0.282345401,0.330015613,0.409950679,0.121760747,0.121760747,0.121760747,0.121760747,0.427578496
117,146,US-UMB,2000,2014,45.5598,-84.7138,234,DBF,603.3525522,7.281493333,504.1121254,757.9867773,813.0710969,803,5.83,0.358325648,23,4.162806107,3292,0.351005652,0.045969827,0.011466738,0.114717346,0.088788853,0.097388702,0.107959352,0.016653301,0.057912851,0.077667217,0.035591171,0.11044459
118,147,US-UMd,2007,2014,45.5625,-84.6975,239,DBF,651.4239087,7.757716545,476.708418,801.4592028,842.3785646,803,5.83,0.42977206,23,3.516973324,4552,0.395659406,0.086008551,0.009703926,0.242785807,0.088097782,0.095836647,0.106133901,0.030096406,0.079200869,0.083838167,0.090832026,0.107520428
119,148,US-Var,2000,2014,38.4133,-120.9507,129,GRA,553.7715816,16.42950159,368.3978398,2616.604967,1175.089421,559,15.8,0.716470489,0.286393074,1.595550846,7478,0.691907257,0.039095724,0.011476151,0.252994895,0.097188013,0.109044948,0.125425052,0.020523758,0.038608451,0.058760585,0.08048311,0.15821725
120,150,US-Whs,2007,2014,31.7438,-110.0522,1370,SHB,313.7662464,17.48971443,302.2660575,1424.502502,1320.163625,320,17.6,0.522566068,1,0.309008925,3479,0.476696886,0.010901267,0.013770452,0.332908456,0.092251686,0.109020769,0.131346367,0.009478965,0.008208602,0.012512872,0.017834082,0.197599303
121,151,US-Wi0,2002,2002,46.6188,-91.0814,349,ENF,949.4944287,11.49664759,710.71217,1324.536298,1470.981233,,,0.399143335,4,4.5824231,176,0.399143335,1.77E-18,0.009059621,0.156571588,0.056543924,0.060949627,0.066504831,1.77E-18,1.77E-18,1.77E-18,1.77E-18,0.068497703
122,152,US-Wi3,2002,2004,46.6347,-91.0987,411,DBF,809.7257171,11.88999043,752.6783645,1375.28476,1438.323575,,,0.244136891,20.5,3.974584517,629,0.244136891,0.040762445,0.008556953,0.112624456,0.068689822,0.072942132,0.079206519,0.040762445,0.040762445,0.040762445,0.040762445,0.077790461
123,153,US-Wi4,2002,2005,46.7393,-91.1663,352,ENF,929.9137913,14.59880983,767.3350522,1354.489862,1836.058096,,,0.384813258,18,3.233639029,1303,0.384813258,5.03E-17,0.007594895,0.199040474,0.064196378,0.071097891,0.077917129,5.03E-17,5.03E-17,5.03E-17,5.03E-17,0.084456794
124,154,US-Wi6,2002,2003,46.6249,-91.2982,371,SHB,794.3306419,11.46481113,447.7354974,1179.399431,1173.648781,,,0.182016448,0.5,2.188799321,428,0.182016448,0.029484594,0.00781973,0.092200803,0.074228356,0.080953853,0.090534339,0.029484594,0.029484594,0.029484594,0.029484594,0.087266003
125,155,US-Wi9,2004,2005,46.6188,-91.0814,350,ENF,840.5409809,13.27330371,607.7006153,1598.12966,1478.554624,,,0.492015678,2.3,4.082820029,1248,0.492015678,0.012471577,0.01079323,0.402247057,0.044772519,0.048965511,0.054494587,0.012471577,0.012471577,0.012471577,0.012471577,0.059169572
126,156,US-Wkg,2004,2014,31.7365,-109.9419,1531,GRA,358.5956659,17.78480015,357.0582475,2460.305842,1531.654385,407,15.64,0.500579333,0.5,0.362524235,7968,0.474032662,0.009951751,0.009630616,0.448076729,0.063865631,0.074932768,0.096655855,0.008007485,0.008572464,0.009794708,0.01644251,0.136109271
127,158,ZM-Mon,2000,2009,-15.4378,23.2528,1053,DBF,700.2469423,22.07695435,803.6296968,1708.771377,1629.147188,945,25,0.697042025,12,1.713277996,1948,0.645865296,0.011327464,0.011313507,0.293417832,0.085000767,0.092055473,0.104472141,0.014220324,0.017308017,0.038158754,0.103885148,0.097931888
